config,task,time,accuracy,macro_f1
82,CB,0.744839,0.642857,0.451389
82,BoolQ,43.46804,0.71682,0.701184
82,RTE,3.643754,0.669065,0.656089
81,CB,0.85122,0.785714,0.552288
81,BoolQ,48.83504,0.746789,0.718658
81,RTE,4.070443,0.705036,0.703501
80,CB,0.898906,0.785714,0.552288
80,BoolQ,52.98803,0.749235,0.727373
80,RTE,4.4743,0.467626,0.318627
79,CB,0.748391,0.678571,0.478983
79,BoolQ,43.93349,0.757798,0.7448
79,RTE,3.692186,0.589928,0.57506
78,CB,1.270599,0.607143,0.427175
78,BoolQ,73.22517,0.735168,0.732608
78,RTE,6.052506,0.532374,0.396258
77,CB,0.881529,0.642857,0.451389
77,BoolQ,50.82706,0.714373,0.693149
77,RTE,4.283827,0.503597,0.398947
76,CB,2.328767,0.571429,0.402659
76,BoolQ,138.2431,0.757798,0.742461
76,RTE,11.79195,0.568345,0.473485
75,CB,2.054542,0.607143,0.427175
75,BoolQ,122.4855,0.757798,0.752777
75,RTE,10.09277,0.57554,0.470117
74,CB,1.645839,0.678571,0.469841
74,BoolQ,97.31869,0.631804,0.631616
74,RTE,8.149131,0.482014,0.358462
73,CB,1.324255,0.642857,0.403846
73,BoolQ,77.53886,0.68685,0.677596
73,RTE,6.528373,0.489209,0.398415
72,CB,4.186097,0.607143,0.427175
72,BoolQ,242.1058,0.808563,0.792416
72,RTE,20.1772,0.553957,0.408104
71,CB,2.084035,0.607143,0.427175
71,BoolQ,122.7676,0.752905,0.749975
71,RTE,10.10054,0.589928,0.496024
70,CB,1.543039,0.607143,0.427175
70,BoolQ,91.43484,0.748624,0.745609
70,RTE,7.65281,0.52518,0.357563
69,CB,1.867494,0.607143,0.427175
69,BoolQ,108.0093,0.7737,0.768149
69,RTE,8.915205,0.539568,0.400216
68,CB,1.323784,0.642857,0.436819
68,BoolQ,77.74318,0.713761,0.703301
68,RTE,6.529143,0.503597,0.407414
67,CB,0.994757,0.642857,0.436819
67,BoolQ,58.32485,0.697859,0.687405
67,RTE,4.89651,0.460432,0.315271
65,CB,2.975073,0.285714,0.148148
65,BoolQ,173.4981,0.477064,0.473633
65,RTE,14.67889,0.510791,0.384315
64,CB,2.999386,0.071429,0.063492
64,BoolQ,173.3938,0.611621,0.379507
64,RTE,14.68224,0.52518,0.34434
63,CB,2.993866,0.285714,0.148148
63,BoolQ,173.479,0.611621,0.379507
63,RTE,14.68762,0.52518,0.34434
62,CB,1.985004,0.607143,0.251852
62,BoolQ,115.825,0.611621,0.379507
62,RTE,9.813024,0.553957,0.553934
61,CB,1.976983,0.607143,0.251852
61,BoolQ,115.6823,0.611621,0.379507
61,RTE,9.81476,0.553957,0.515843
60,CB,1.977306,0.607143,0.251852
60,BoolQ,115.86,0.611621,0.379507
60,RTE,9.827022,0.47482,0.354558
59,CB,1.984558,0.285714,0.148148
59,BoolQ,115.6677,0.395107,0.29504
59,RTE,9.801486,0.47482,0.321951
58,CB,0.996716,0.607143,0.427175
58,BoolQ,58.40536,0.878287,0.870864
58,RTE,4.918255,0.913669,0.913557
57,CB,0.411798,0.607143,0.427175
57,BoolQ,23.9819,0.792661,0.776313
57,RTE,2.007627,0.647482,0.595089
56,CB,0.266978,0.607143,0.427175
56,BoolQ,15.17841,0.779205,0.77018
56,RTE,1.275103,0.589928,0.479606
55,CB,0.419464,0.571429,0.39881
55,BoolQ,19.45441,0.760245,0.747081
55,RTE,1.64949,0.482014,0.442513
54,CB,0.572597,0.821429,0.808754
54,BoolQ,33.55271,0.70948,0.689782
54,RTE,2.828577,0.697842,0.694282
53,CB,0.238894,0.678571,0.478983
53,BoolQ,12.11055,0.677676,0.653243
53,RTE,1.035237,0.669065,0.651743
52,CB,0.141596,0.642857,0.451389
52,BoolQ,6.986769,0.681957,0.65983
52,RTE,0.579799,0.676259,0.652982
51,CB,0.232425,0.5,0.351691
51,BoolQ,12.50989,0.718654,0.712616
51,RTE,1.069973,0.496403,0.394599
50,CB,0.128875,0.785714,0.752315
50,BoolQ,7.34969,0.746789,0.73143
50,RTE,0.610846,0.669065,0.630319
12,CB,2.977134,0.892857,0.91511
12,BoolQ,175.3862,0.723547,0.699896
12,RTE,14.74092,0.719424,0.715657
13,CB,2.742618,0.678571,0.625448
13,BoolQ,162.2341,0.721713,0.698463
13,RTE,13.60599,0.733813,0.725634
14,CB,2.838705,0.642857,0.451389
14,BoolQ,168.7846,0.704587,0.674378
14,RTE,14.09025,0.705036,0.702821
16,CB,2.605204,0.928571,0.91194
16,BoolQ,153.8097,0.788991,0.770334
16,RTE,12.92256,0.776978,0.775818
17,CB,3.76427,0.678571,0.478983
17,BoolQ,223.2939,0.818349,0.804166
17,RTE,18.67204,0.76259,0.752549
21,CB,1.492947,0.928571,0.94213
21,BoolQ,86.99439,0.757798,0.738609
21,RTE,7.379031,0.748201,0.743907
22,CB,1.055113,0.678571,0.475758
22,BoolQ,62.39992,0.678287,0.656812
22,RTE,5.159618,0.654676,0.625169
23,CB,1.433246,0.607143,0.427175
23,BoolQ,84.80429,0.697248,0.67672
23,RTE,7.05333,0.654676,0.638961
24,CB,1.143047,0.678571,0.625448
24,BoolQ,67.13791,0.700306,0.679668
24,RTE,5.655386,0.705036,0.702013
25,CB,1.256175,0.678571,0.625448
25,BoolQ,74.1622,0.703364,0.679052
25,RTE,6.234388,0.726619,0.71748
26,CB,1.335982,0.857143,0.888889
26,BoolQ,78.83634,0.801223,0.787746
26,RTE,6.59532,0.748201,0.747731
27,CB,1.331119,0.857143,0.888889
27,BoolQ,78.76159,0.805505,0.788388
27,RTE,6.615309,0.805755,0.805594
28,CB,1.187209,0.714286,0.500516
28,BoolQ,69.44746,0.67156,0.64952
28,RTE,5.722628,0.661871,0.637559
29,CB,1.433542,0.607143,0.427175
29,BoolQ,84.57637,0.688073,0.663838
29,RTE,7.050982,0.647482,0.634701
30,CB,1.718363,0.75,0.52027
9,CB,2.348707,0.678571,0.475758
9,BoolQ,139.6268,0.675841,0.653519
9,RTE,11.3746,0.661871,0.634558
10,CB,2.694293,0.642857,0.451389
10,BoolQ,160.3954,0.695413,0.675292
10,RTE,13.54056,0.647482,0.632573
11,CB,1.522649,0.714286,0.7
11,BoolQ,89.76332,0.706422,0.683613
11,RTE,7.468084,0.71223,0.706751
66,CB,2.344385,0.571429,0.242424
66,BoolQ,133.4427,0.611621,0.379507
66,RTE,11.50834,0.47482,0.354558
200,CB,0.998068,0.714286,0.500516
200,BoolQ,58.16902,0.673394,0.648514
200,RTE,4.85262,0.661871,0.637559
201,CB,1.709525,0.607143,0.427175
201,BoolQ,99.94477,0.692355,0.669722
201,RTE,8.431612,0.661871,0.64757
8,CB,0.582797766,0.928571429,0.895833333
8,BoolQ,33.16870737,0.82324159,0.807171444
8,RTE,2.822078705,0.705035971,0.704974893
17,CB,72.34403872,0.678571429,0.478983382
17,BoolQ,4198.657487,0.818348624,0.804165953
17,RTE,353.4299786,0.762589928,0.752548956
8,CB,,0.928571,0.895833
8,BoolQ,,0.82263,0.806579
8,RTE,,0.71223,0.712096
50,CB,,0.785714,0.752315
50,BoolQ,,0.746177,0.730864
50,RTE,,0.669065,0.630319
51,CB,,0.5,0.351691
51,BoolQ,,0.719266,0.713293
51,RTE,,0.496403,0.394599
52,CB,,0.642857,0.451389
52,BoolQ,,0.681346,0.659289
52,RTE,,0.676259,0.652982
53,CB,,0.678571,0.478983
53,BoolQ,,0.677064,0.652706
53,RTE,,0.669065,0.651743
54,CB,,0.821429,0.808754
